word,definition
anthropomancy,divination using human entrails
anthropomorphization,attribution of human qualities to animals
anthropopathy,ascription of human feelings to inanimate object
anthropophaginian,cannibal
anthropophagous,eating humans
anthroposophy,knowledge of the nature of humanity; human wisdom
anthropotheism,belief that gods are only deified men
anthypophora,refuting an objection using a contrary inference
antibasilican,opposed to monarchic principle
antiblastic,providing natural immunity against harmful substances
antibromic,eliminating offensive odours
antichresis,enjoyment of mortgaged property in lieu of interest payments
antichthon,hypothetical second Earth on the opposite side of the sun
anticlimax,expression whose last part is decreased in effect from the prior part
anticryptic,camouflaged; having protective resemblance to environment
antidisestablishmentarianism,doctrine opposed to removing Church of England's official religion status
antigalactic,preventing the secretion of milk
antigropelos,waterproof leggings
antilapsarianism,denial of doctrine of the fall of humanity
antilegomena,books of the New Testament not part of early Christian Bible
antilogarithm,number of which a given number is the logarithm
antilogism,statement of three propositions containing contradiction
antilogy,contradiction
antiloquy,speaking against some idea; contradicting or gainsaying
antimacassar,protective covering for back of sofa or chair
antimetabole,figure in which words or phrases are repeated but in inverse order
antimetathesis,inversion of the parts of an antithesis
antimnemonic,damaging the memory; eliminating memories
antimony,brittle bluish-white metallic element
antinomianism,doctrine of the rejection of moral law
antinomy,contradiction between two logical conclusions
antipedobaptism,denial of validity of infant baptism
antiperistasis,opposition or resistance
antiphon,anthem sung as a response during church service
antiphrasis,use of words in a sense opposite to literal
antipudic,concealing private parts of the body
antiscian,dweller on the exact opposite side of the world
antistrophe,repetition of words in reverse order
antistrophon,turning of opponent's own argument against them
antithalian,opposed to mirth or fun
antithesis,contrast of ideas by means of parallel arrangement of words or clauses
antitypy,resistance to being penetrated
antonomasia,use of descriptive phrase or epithet instead of proper name
antre,cave
antrorse,turned upward and forward
anuptaphobia,fear of staying single
anuresis,inability to urinate
anurous,tailless
anzactile,army biscuit
aorist,expressing simple past time with no continuance
apaesthesia,numbness or loss of sensation in a limb
apagoge,proof by showing the falsehood of the opposite
apanage,privilege of office; especially one given to younger offspring
apantomancy,divination using objects at hand
aparithmesis,rhetorical answer to a proposition
apatetic,of an animal's coloration or markings
apay,to satisfy
apercu,brief outline; glimpse; intuitive insight
aperient,laxative
aphagia,inability to eat or swallow
aphemia,loss of ability to produce articulate speech
apheresis,taking away a sound or syllable at the beginning of a word
aphesis,loss of initial unaccented vowel from beginning of a word
aphicide,killer of aphids
aphidicide,killer of aphids
aphnology,science of wealth
aphologistic,flameless
aphotic,lightless
aphrasia,inability to speak
aphrodisiomania,abnormal sexual interest
aphthong,silent letter
apian,of like or pertaining to bees
apiarian,of like or pertaining to bees or beekeeping
apical,of or at the apex
apiculate,ending in a small apex or point
apiculture,beekeeping
apiology,study of bees
apistia,faithlessness in marriage
apivorous,eating bees
aplanatic,a lens free of spherical aberration
apocalypticism,doctrine of the imminent end of the world
apocarteresis,suicide by starvation
apocatastasis,final restitution of all things at the appearance of the Messiah
apocatastisis,reversion or restoration to original position
apocope,cutting off the last sound of a word
apocrisiary,papal secretary
apodal,lacking feet
apodictic,necessarily true beyond contradiction
apodosis,main concluding clause in a conditional sentence
apodysophilia,feverish desire to undress
apograph,exact copy; facsimile
apolaustic,dedicated to the search for enjoyment
apologetics,defense and proof of Christianity or other doctrine
aponia,painlessness
apopemptic,valedictory
apophasis,saying something by stating that you will not mention it
apophoret,a gift given to celebrate a new year
apophthegm,brief saying; proverb; epigram
aporia,professed but false doubt of what to say or choose for rhetorical effect
aposiopesis,suddenly stopping in the middle of a speech for emphasis
apositia,dislike of or distaste for food
apostasy,renunciation of former beliefs
apostil,marginal note
apostrophe,addressing of a personified thing rhetorically
apotelesm,casting of a horoscope
apothegm,a short instructive saying or formula
apotheosis,elevation to divine status; a perfect example
apotropaic,designed to turn away evil
apparitor,officer in court who attends to execute orders; harbinger
appaumé,having the palm displayed
appendant,attached to; hanging from; adjunct
apperception,mind's perception of itself as a conscious agent
appersonation,irrational belief that one is another person
appetence,strong craving or powerful desire
applanate,flat; flattened; compressed
appointé,in heraldry having two things touching at the ends
apport,to transport objects without material agency
appose,to place in juxtaposition or proximity
apposite,appropriate
approbation,approval; consent
apprompt,to borrow
appropinquity,nearness
appui,to support militarily
appulse,a striking against something
appurtenance,a subordinate or adjunct part of
apricate,to bask in the sun
apricide,killing of a boar
aprique,sunny
apse,rounded extension of church or other building
apselophesia,loss of sense of touch
apsidal,shaped like an apse
apterygial,wingless; finless
aptotic,uninflected; indeclinable
aptronym,name that suits its owner
apyrexy,period of intermission in a fever
aquamanile,ewer in the form of a human or animal figure for ceremonial handwashing
aquaphobia,fear of water
aquarelle,watercolour painting
aquifer,a rock formation containing water
aquiform,watery; liquid
aquilated,in heraldry adorned with eagle's heads
aquiline,of like or pertaining to eagles; hooked like an eagle's beak
araba,wheeled Middle Eastern carriage
arachibutyrophobia,fear of peanut butter sticking to roof of mouth
arachnivorous,feeding on spiders
arachnology,study of spiders
arachnophobia,fear of spiders
araneidan,of like or pertaining to spiders
araneiform,shaped like a spider
araneous,transparent; delicate; like a spider's web
araphorostic,seamless
aration,ploughing
arbalest,type of crossbow
arborescent,branched; branching; tree-shaped
arboricide,killing of trees
arboricolous,growing on or living in trees
arboriform,shaped like a tree
arbrolatry,worship of start
arbuscle,dwarf or shrub-like tree
arbustum,orchard; copse of trees
arcanna,red chalk used to mark trees
arcate,bow-shaped
arceate,to prevent; to ward off
archaeolatry,worship of archaic things or old customs
archelogy,the study of first principles
archet,violin box
archididascalian,of like or pertaining to headmasters
archididascalos,school principal
archiloquy,first part of a speech
archimandrite,head of a monastery or convent
archimime,chief buffoon or mimic
architectonics,of like or pertaining to the arrangement of knowledge
architecuralization,adaptation of non-architectural entities for architectural purposes
architrave,parts surrounding a door or window especially the top
archology,science of the origins of government
arciform,shaped like a bow
arctician,one skilled in navigating arctic regions
arctogaeal,of the arctic regions of the earth
arctoid,bear-like
arctophile,collector of teddy bears
arctophily,study of teddy bears
arcuate,arched; bow-shaped
ard,plough used to scratch top surface of soil
ardass,fine silk
arefy,to dry up; to wither
arenaceous,like growing in or consisting of sand
arenoid,sandy; like sand
areology,study of Mars
areometer,instrument used for measuring specific gravity
areopagitic,of like or pertaining to tribunals or courts
aret,to assign or allot
aretaics,the science of virtue
arete,sharp mountain ridge
argali,large-horned Asian wild sheep
argand,gas or oil lamp
argent,the heraldic colour silver or white
argentiferous,bearing silver
argentocracy,government by money
